Frame Index,Latency (ms),7-Frame Trend (ms),High-Frequency Jitter (ms),System Jitter (ms),Cumulative Drift (ms),Temperature Change (C),Centered Trend Component (ms),GPU Temperature (C),GPU SM Clock (MHz),GPU Utilization (%),GPU Power (W),DVFS Event,DVFS Effect (ms),Spike Event,Spike Effect (ms),Burst Effect (ms)
67,9.227483476911273,9.269553671077805,-0.04207019416653246,-0.04304159003165912,-3.4313994427116157,0.0,-0.03516104606428172,31.0,2850.0,18.0,118.79,1,-0.04207019416653246,0,0.0,0.0
68,9.267647879464286,9.280748484086017,-0.013100604621730128,-0.014072000486856789,-3.534605220872489,0.0,-0.023966233056070152,31.0,2850.0,18.0,118.79,1,-0.013100604621730128,0,0.0,0.0
69,9.252799987792969,9.288637433733259,-0.035837445940289925,-0.03680884180541658,-3.6299220493861206,0.0,-0.01607728340882808,31.0,2850.0,18.0,118.79,1,-0.035837445940289925,0,0.0,0.0
70,9.453906467982701,9.299085033183196,0.15482143479950494,0.1538500389343783,-3.7147912784498143,0.0,-0.005629683958890297,31.0,2850.0,18.0,118.99,1,0.15482143479950494,0,0.0,0.0
71,9.321536472865514,9.307577483508052,0.013958989357462315,0.012987593492335654,-3.791168057188653,0.0,0.0028627663659648306,31.0,2850.0,18.0,118.99,1,0.013958989357462315,0,0.0,0.0
72,9.279652186802455,9.309005114496971,-0.02935292769451614,-0.0303243235596428,-3.866117204938572,0.0,0.0042903973548842345,31.0,2850.0,18.0,118.99,1,-0.02935292769451614,0,0.0,0.0
73,9.29056876046317,9.31018844915896,-0.01961968869579067,-0.020591084560917332,-3.939883018026501,0.0,0.005473732016874067,31.0,2850.0,18.0,118.99,1,-0.01961968869579067,0,0.0,0.0
74,9.286930629185267,9.283431228326291,0.0034994008589759318,0.0025280049938492715,-4.0404060519471,0.0,-0.021283488815795337,31.0,2850.0,18.0,118.99,1,0.0034994008589759318,0,0.0,0.0
75,9.277641296386719,9.2746304881816,0.0030108082051185647,0.0020394123399919044,-4.14972982601239,0.0,-0.03008422896048657,31.0,2850.0,18.0,118.99,1,0.0030108082051185647,0,0.0,0.0
76,9.261083330426898,9.272487251126037,-0.011403920699139647,-0.012375316564266308,-4.261196837133243,0.0,-0.03222746601604953,31.0,2850.0,18.0,118.99,1,-0.011403920699139647,0,0.0,0.0
77,9.266605922154017,9.285325186593191,-0.0187192644391736,-0.01969066030430026,-4.359825912786942,0.0,-0.019389530548895806,31.0,2850.0,18.0,118.99,1,-0.0187192644391736,0,0.0,0.0
78,9.259931291852679,9.29408139598613,-0.034150104133450654,-0.03512149999857731,-4.4496987790477025,0.0,-0.010633321155957276,31.0,2850.0,18.0,118.99,1,-0.034150104133450654,0,0.0,0.0
79,9.264649527413505,9.300050385144292,-0.03540085773078694,-0.036372253595913596,-4.5336026561503004,0.0,-0.004664331997794591,31.0,2850.0,18.0,118.99,1,-0.03540085773078694,0,0.0,0.0
80,9.380434308733259,9.302575091926418,0.07785921680684105,0.07688782094171438,-4.614981826470773,0.0,-0.0021396252156691276,31.0,2850.0,11.0,118.99,1,0.07785921680684105,0,0.0,0.0
81,9.348224094935826,9.304553907744738,0.04367018719108806,0.042698791325961404,-4.694382180972925,0.0,-0.00016080939734841593,31.0,2850.0,11.0,118.99,1,0.04367018719108806,0,0.0,0.0
82,9.319424220493861,9.314450478067203,0.0049737424266584895,0.004002346561531829,-4.763885965152612,0.0,0.009735760925115855,31.0,2850.0,11.0,118.99,1,0.0049737424266584895,0,0.0,0.0
83,9.278756277901786,9.315103491958306,-0.036347214056519306,-0.037318609921645964,-4.8327367354411965,0.0,0.010388774816219026,31.0,2850.0,11.0,118.99,1,-0.036347214056519306,0,0.0,0.0
84,9.280457632882255,9.29961161710778,-0.019153984225525278,-0.02012538009065194,-4.917079380580306,0.0,-0.005103100034306252,31.0,2850.0,11.0,118.99,1,-0.019153984225525278,0,0.0,0.0
85,9.329207284109932,9.290313253597338,0.03889403051259421,0.037922634647467555,-5.010720389229858,0.0,-0.014401463544748694,31.0,2850.0,11.0,118.99,1,0.03889403051259421,0,0.0,0.0
86,9.269220624651227,9.299554007393972,-0.030333382742744774,-0.03130477860787143,-5.095120644082776,0.0,-0.005160709748114556,31.0,2850.0,11.0,118.99,1,-0.030333382742744774,0,0.0,0.0
87,9.271991184779576,9.316670787577726,-0.04467960279814953,-0.04565099866327619,-5.16240411875194,0.0,0.011956070435639177,31.0,2850.0,11.0,118.99,1,-0.04467960279814953,0,0.0,0.0
88,9.283135550362724,9.308297137824855,-0.025161587462131152,-0.026132983327257813,-5.238061243173975,0.0,0.0035824206827683724,31.0,2850.0,11.0,118.99,1,-0.025161587462131152,0,0.0,0.0
89,9.384109497070312,9.301375875667649,0.08273362140266372,0.08176222553753705,-5.320639629753217,0.0,-0.00333884147443797,31.0,2850.0,11.0,118.99,1,0.08273362140266372,0,0.0,0.0
90,9.398573739188057,9.302184280084102,0.09638945910395513,0.09541806323882847,-5.4024096119160046,0.0,-0.0025304370579846136,31.0,2925.0,11.0,119.08,0,0.0,0,0.0,0.0
91,9.221842084612165,9.299803130480706,-0.07796104586854113,-0.0789324417336678,-5.486560743682189,0.0,-0.004911586661380696,31.0,2925.0,11.0,119.08,0,0.0,0,0.0,0.0
92,9.280758449009486,9.28895973672672,-0.008201287717234607,-0.009172683582361268,-5.581555269202358,0.0,-0.01575498041536605,31.0,2925.0,11.0,119.08,0,0.0,0,0.0,0.0
93,9.274879455566406,9.273824419294085,0.0010550362723211748,8.364040719451439e-05,-5.691685112155163,0.0,-0.03089029784800168,31.0,2925.0,11.0,119.08,0,0.0,0,0.0,0.0
94,9.255323137555804,9.253296054139428,0.00202708341637603,0.0010556875512493695,-5.822343320262625,0.0,-0.05141866300265896,31.0,2925.0,11.0,119.08,0,0.0,0,0.0,0.0
95,9.207231794084821,9.264876229422432,-0.0576444353376111,-0.05861583120273776,-5.941421353087083,0.0,-0.03983848771965448,31.0,2925.0,11.0,119.08,0,0.0,0,0.0,0.0
96,9.278162275041852,9.26896963314134,0.009192641900511944,0.008221246035385283,-6.056405982192633,0.0,-0.035745084000746274,31.0,2925.0,11.0,119.08,0,0.0,0,0.0,0.0
97,9.254875183105469,9.287177105339206,-0.032301922233736846,-0.033273318098863504,-6.153183139100317,0.0,-0.01753761180288116,31.0,2925.0,11.0,119.08,0,0.0,0,0.0,0.0
98,9.302903311593193,9.299342408472178,0.003560903121014647,0.0025895072558879866,-6.237794992875029,0.0,-0.005372308669908676,31.0,2925.0,11.0,119.08,0,0.0,0,0.0,0.0
99,9.309412275041852,9.304986136300222,0.004426138741630226,0.0034547428765035653,-6.316763118821697,0.0,0.00027141915813544415,31.0,2925.0,11.0,119.08,0,0.0,0,0.0,0.0
100,9.402331760951451,9.310705690967794,0.09162606998365774,0.09065467411853108,-6.390011690100794,0.0,0.005990973825706902,31.0,2865.0,18.0,118.76,1,0.09162606998365774,0,0.0,0.0
101,9.340480259486608,9.312115104830994,0.028365154655613622,0.02739375879048696,-6.46185084751669,0.0,0.007400387688907273,31.0,2865.0,18.0,118.76,1,0.028365154655613622,0,0.0,0.0
102,9.246737888881139,9.300378293407206,-0.05364040452606744,-0.0546118003911941,-6.545426816356374,0.0,-0.0043364237348804124,31.0,2865.0,18.0,118.76,1,-0.05364040452606744,0,0.0,0.0
103,9.318199157714844,9.283867660833865,0.03433149688097892,0.03336010101585226,-6.645513417769399,0.0,-0.020847056308221923,31.0,2865.0,18.0,118.76,1,0.03433149688097892,0,0.0,0.0
104,9.26474108014788,9.260443551199776,0.004297528948104201,0.003326133082977541,-6.769024128816513,0.0,-0.04427116594231073,31.0,2865.0,18.0,118.76,1,0.004297528948104201,0,0.0,0.0
105,9.220745631626674,9.242213969327965,-0.021468337701291418,-0.02243973356641808,-6.910764421735438,0.0,-0.06250074781412174,31.0,2865.0,18.0,118.76,1,-0.021468337701291418,0,0.0,0.0
106,9.19383784702846,9.236972575284996,-0.04313472825653619,-0.04410612412166285,-7.057746108697332,0.0,-0.06774214185709049,31.0,2865.0,18.0,118.76,1,-0.04313472825653619,0,0.0,0.0
107,9.238362993512835,9.252472235231984,-0.014109241719149068,-0.01508063758427573,-7.189228135712238,0.0,-0.05224248191010261,31.0,2865.0,18.0,118.76,1,-0.014109241719149068,0,0.0,0.0
108,9.212873186383929,9.255986894880023,-0.04311370849609375,-0.04408510436122041,-7.317195503079105,0.0,-0.04872782226206418,31.0,2865.0,18.0,118.76,1,-0.04311370849609375,0,0.0,0.0
109,9.210048130580358,9.265196352588887,-0.05514822200852976,-0.056119617873656415,-7.435953412737108,0.0,-0.03951836455319935,31.0,2865.0,18.0,118.76,1,-0.05514822200852976,0,0.0,0.0
110,9.42669677734375,9.280487060546875,0.146209716796875,0.14523832093174835,-7.539420614437123,0.0,-0.024227656595211755,31.0,2917.0,18.0,119.59,0,0.0,0,0.0,0.0
111,9.289343697684151,9.291001456124443,-0.0016577584402917012,-0.0026291543054183615,-7.632373420559571,0.0,-0.01371326101764403,31.0,2917.0,18.0,119.59,0,0.0,0,0.0,0.0
112,9.285211835588727,9.298823765345983,-0.013611929757255226,-0.014583325622381887,-7.717503917460478,0.0,-0.005890951796104105,31.0,2917.0,18.0,119.59,0,0.0,0,0.0,0.0
113,9.300872802734375,9.30551630136918,-0.004643498634804288,-0.005614894499930949,-7.795941878338189,0.0,0.0008015842270925333,31.0,2917.0,18.0,119.59,0,0.0,0,0.0,0.0
114,9.311963762555804,9.28137393873565,0.030589823820154294,0.029618427955027633,-7.898522201849429,0.0,-0.023340778406437224,31.0,2917.0,18.0,119.59,0,0.0,0,0.0,0.0
115,9.26762935093471,9.279218868333466,-0.011589517398755689,-0.01256091326388235,-8.003257595762854,0.0,-0.02549584880862099,31.0,2917.0,18.0,119.59,0,0.0,0,0.0,0.0
116,9.256895882742745,9.28282103246572,-0.02592514972297444,-0.0268965455881011,-8.104390825544025,0.0,-0.021893684676367542,31.0,2917.0,18.0,119.59,0,0.0,0,0.0,0.0
117,9.25770023890904,9.296875,-0.039174761090960075,-0.04014615695608673,-8.191470087790915,0.0,-0.007839717142086755,31.0,2917.0,18.0,119.59,0,0.0,0,0.0,0.0
118,9.274258204868861,9.300077632981903,-0.025819428113042164,-0.026790823978168826,-8.275346717055902,0.0,-0.004637084160183491,31.0,2917.0,18.0,119.59,0,0.0,0,0.0,0.0
119,9.310426984514509,9.305862426757812,0.004564557756696175,0.0035931618915695145,-8.35343855254498,0.0,0.001147709615725745,31.0,2917.0,18.0,119.59,0,0.0,0,0.0,0.0
120,9.39925057547433,9.410369250239158,-0.01111867476482864,-0.012090070629955301,-8.32702356455271,0.0,0.10565453309707173,31.0,2917.0,18.0,119.59,0,0.0,0,0.0,0.0
121,9.33438219342913,9.412190028599332,-0.0778078351702014,-0.07877923103532807,-8.29878779820027,0.0,0.10747531145724487,31.0,2917.0,18.0,119.59,0,0.0,0,0.0,0.0
122,9.308122907366071,9.404715090381854,-0.0965921830157832,-0.09756357888090987,-8.278026970065305,0.0,0.10000037323976763,31.0,2917.0,18.0,119.59,0,0.0,0,0.0,0.0
123,9.988443647112165,9.396566274214763,0.591877372897402,0.5909059770322754,-8.265414958097432,0.0,0.09185155707267612,31.0,2917.0,18.0,119.59,0,0.0,1,0.591877372897402,0.0
124,9.270445687430245,9.371977202746333,-0.10153151531608806,-0.10250291118121473,-8.27739201759799,0.0,0.06726248560424608,31.0,2917.0,18.0,119.59,0,0.0,0,0.0,0.0
125,9.22193363734654,9.359471068090322,-0.137537430743782,-0.13850882660890865,-8.301875211754558,0.0,0.054756350948235166,31.0,2917.0,18.0,119.59,0,0.0,0,0.0,0.0
126,9.253385271344866,9.35388744120695,-0.10050216986208405,-0.10147356572721071,-8.331942032794498,0.0,0.049172724064863615,31.0,2917.0,18.0,119.59,0,0.0,0,0.0,0.0
127,9.227127075195312,9.270488816864635,-0.043361741669322384,-0.04433313753444904,-8.445407478176753,0.0,-0.03422590027745187,31.0,2917.0,18.0,119.59,0,0.0,0,0.0,0.0
128,9.246839250837054,9.280052185058594,-0.033212934221539925,-0.03418433008666658,-8.549309555365049,0.0,-0.024662532083493005,31.0,2917.0,18.0,119.59,0,0.0,0,0.0,0.0
129,9.269037519182477,9.283672722018494,-0.014635202836016603,-0.015606598701143264,-8.649591095593445,0.0,-0.021041995123592727,31.0,2917.0,18.0,119.59,0,0.0,0,0.0,0.0
130,9.40465327671596,9.285101598622848,0.11955167809311185,0.11858028222798518,-8.748443759217487,1.0,-0.019613118519238526,32.0,2895.0,18.0,117.82,0,0.0,0,0.0,0.0
131,9.337389264787946,9.28938168895488,0.048007575833066696,0.04703617996794004,-8.843016332509498,1.0,-0.015333028187207276,32.0,2895.0,18.0,117.82,0,0.0,0,0.0,0.0
132,9.247277396065849,9.292764469068878,-0.04548707300302901,-0.04645846886815567,-8.93420612568751,1.0,-0.011950248073208769,32.0,2895.0,18.0,117.82,0,0.0,0,0.0,0.0
133,9.263387407575335,9.287879632443799,-0.024492224868463808,-0.02546362073359047,-9.030280755490601,1.0,-0.016835084698287872,32.0,2895.0,18.0,117.82,0,0.0,0,0.0,0.0
134,9.257087707519531,9.264555016342474,-0.007467308822942442,-0.008438704688069103,-9.149680001395017,1.0,-0.04015970079961306,32.0,2895.0,18.0,117.82,0,0.0,0,0.0,0.0
135,9.270518711635045,9.251984888193558,0.01853382344148713,0.01756242757636047,-9.28164937544835,1.0,-0.052729828948528734,32.0,2895.0,18.0,117.82,0,0.0,0,0.0,0.0
136,9.23484366280692,9.251235183404416,-0.016391520597496267,-0.01736291646262293,-9.414368454290823,1.0,-0.05347953373767034,32.0,2895.0,18.0,117.82,0,0.0,0,0.0,0.0
137,9.241380964006696,9.2695627017897,-0.02818173778300448,-0.02915313364813114,-9.528760014748013,1.0,-0.0351520153523861,32.0,2895.0,18.0,117.82,0,0.0,0,0.0,0.0
138,9.249398367745536,9.273309980119977,-0.02391161237444095,-0.02488300823956761,-9.639404296874925,1.0,-0.03140473702210933,32.0,2895.0,18.0,117.82,0,0.0,0,0.0,0.0
